"MTU (UTC)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (UTC)","Intraday Price (EUR/MWh)"
"07/01/2021 00:00:00 - 07/01/2021 01:00:00","BZN|SE4","Without Sequence","40.90","",""
"07/01/2021 01:00:00 - 07/01/2021 02:00:00","BZN|SE4","Without Sequence","39.19","",""
"07/01/2021 02:00:00 - 07/01/2021 03:00:00","BZN|SE4","Without Sequence","39.78","",""
"07/01/2021 03:00:00 - 07/01/2021 04:00:00","BZN|SE4","Without Sequence","41.28","",""
"07/01/2021 04:00:00 - 07/01/2021 05:00:00","BZN|SE4","Without Sequence","45.54","",""
"07/01/2021 05:00:00 - 07/01/2021 06:00:00","BZN|SE4","Without Sequence","55.97","",""
"07/01/2021 06:00:00 - 07/01/2021 07:00:00","BZN|SE4","Without Sequence","67.80","",""
"07/01/2021 07:00:00 - 07/01/2021 08:00:00","BZN|SE4","Without Sequence","84.43","",""
"07/01/2021 08:00:00 - 07/01/2021 09:00:00","BZN|SE4","Without Sequence","83.86","",""
"07/01/2021 09:00:00 - 07/01/2021 10:00:00","BZN|SE4","Without Sequence","82.44","",""
"07/01/2021 10:00:00 - 07/01/2021 11:00:00","BZN|SE4","Without Sequence","85.99","",""
"07/01/2021 11:00:00 - 07/01/2021 12:00:00","BZN|SE4","Without Sequence","84.71","",""
"07/01/2021 12:00:00 - 07/01/2021 13:00:00","BZN|SE4","Without Sequence","82.29","",""
"07/01/2021 13:00:00 - 07/01/2021 14:00:00","BZN|SE4","Without Sequence","78.62","",""
"07/01/2021 14:00:00 - 07/01/2021 15:00:00","BZN|SE4","Without Sequence","81.57","",""
"07/01/2021 15:00:00 - 07/01/2021 16:00:00","BZN|SE4","Without Sequence","89.68","",""
"07/01/2021 16:00:00 - 07/01/2021 17:00:00","BZN|SE4","Without Sequence","99.91","",""
"07/01/2021 17:00:00 - 07/01/2021 18:00:00","BZN|SE4","Without Sequence","84.62","",""
"07/01/2021 18:00:00 - 07/01/2021 19:00:00","BZN|SE4","Without Sequence","77.79","",""
